lap_num,b_t_delta,related_b,related_T
1,1.4127933979034424,1,1
1,2.546724319458008,2,2
2,1.2570841312408447,1,1
2,2.1665046215057373,2,2
3,1.078850269317627,1,1
3,2.2917776107788086,2,2
4,1.1318070888519287,1,1
4,2.7210161685943604,2,2
5,1.1986594200134277,1,1
5,2.1110854148864746,2,2
6,1.147545337677002,1,1
7,1.258500576019287,1,1
7,2.1355056762695312,2,2
8,1.2905163764953613,1,1
8,2.1316115856170654,2,2
9,1.2589280605316162,1,1
9,2.5306875705718994,2,2
10,1.0289306640625,1,1
10,2.149874687194824,2,2
