global_lap_num,session,session_lap_num,class_name,class_index,delta_1_seconds,delta_2_seconds,loso_predicted_class_index,loso_predicted_class_name,loso_probability_optimal,loso_probability_standard,loso_probability_sub_standard,correct
70,8,3,sub_standard_laps,2,1.1870827674865725,2.920216560363769,1,standard_laps,0.18624664323441723,0.5226645366118783,0.29108882015370446,False
71,8,4,standard_laps,1,1.624111890792847,2.529339075088501,2,sub_standard_laps,0.02086191873432331,0.2836079609211528,0.6955301203445239,False
73,8,6,standard_laps,1,1.184779167175293,2.949165344238281,1,standard_laps,0.17457858660453895,0.5140514713135327,0.3113699420819283,True
74,8,7,standard_laps,1,1.6503453254699707,2.992475986480713,2,sub_standard_laps,0.0015930275879342452,0.06606445576852642,0.9323425166435393,False
75,8,8,standard_laps,1,1.7128939628601074,2.634553909301758,2,sub_standard_laps,0.004992300887410214,0.13773421285102236,0.8572734862615674,False
77,8,10,standard_laps,1,1.1617155075073242,2.354209899902344,0,optimal_laps,0.5568064446562051,0.414779464483042,0.02841409086075304,False
79,9,2,sub_standard_laps,2,2.093603134155273,3.348637580871582,2,sub_standard_laps,1.6314381066485993e-06,0.004163292902227528,0.9958350756596658,True
81,9,4,standard_laps,1,1.513024091720581,2.229769706726074,1,standard_laps,0.1509905472913964,0.5683186945683498,0.28069075814025374,True
83,9,6,optimal_laps,0,1.0171310901641846,2.598050355911255,0,optimal_laps,0.6114881938417069,0.34858148619726315,0.03993031996102995,True
85,10,1,sub_standard_laps,2,1.6160471439361572,3.0100529193878174,2,sub_standard_laps,0.002477333436247183,0.19281579015221548,0.8047068764115374,True
87,10,3,standard_laps,1,1.0975801944732666,2.7350897789001465,1,standard_laps,0.3431043821641287,0.51942740743138,0.1374682104044912,True
88,10,4,standard_laps,1,1.2195510864257812,2.0437419414520264,0,optimal_laps,0.7436969063039369,0.23046702918317488,0.02583606451288807,False
89,10,5,sub_standard_laps,2,1.5193328857421875,3.0356717109680176,2,sub_standard_laps,0.005280570984930407,0.25450014127059445,0.7402192877444752,True
90,10,6,standard_laps,1,1.114410638809204,2.5244994163513184,0,optimal_laps,0.5039533981977815,0.4179627523898675,0.078083849412351,False
91,10,7,optimal_laps,0,1.1045451164245603,2.683706045150757,1,standard_laps,0.376475298359666,0.500392167682587,0.12313253395774701,False
92,10,8,standard_laps,1,1.114415168762207,2.373022556304932,0,optimal_laps,0.6367323454477133,0.3191847516868229,0.0440829028654638,False
93,10,9,standard_laps,1,1.0357439517974854,2.585441827774048,0,optimal_laps,0.5752033117846724,0.36910927891881173,0.05568740929651576,False
96,10,12,optimal_laps,0,1.030689001083374,2.7161760330200195,0,optimal_laps,0.46586273663417715,0.44823762657156574,0.08589963679425701,True
97,10,13,standard_laps,1,1.5264620780944824,1.9940736293792725,1,standard_laps,0.31573902448724106,0.49744397855164935,0.18681699696110957,True
98,10,14,standard_laps,1,1.6163814067840576,2.246284008026123,1,standard_laps,0.07832065652059965,0.4822780469011321,0.4394012965782682,True
115,13,1,sub_standard_laps,2,2.0748109817504883,2.171182870864868,2,sub_standard_laps,0.0014052891089142122,0.15115075654898386,0.847443954342102,True
116,13,2,optimal_laps,0,1.1826441287994385,2.214783906936645,0,optimal_laps,0.6429530520197289,0.3233059804363899,0.03374096754388112,True
117,13,3,sub_standard_laps,2,1.6333818435668943,2.8785462379455566,2,sub_standard_laps,0.0035278179087857627,0.16243936904389134,0.8340328130473229,True
118,13,4,optimal_laps,0,1.0624206066131592,2.3667945861816406,0,optimal_laps,0.7187696273594457,0.2577417958425409,0.02348857679801332,True
119,13,5,standard_laps,1,1.1936335563659668,2.2159438133239746,0,optimal_laps,0.6253785479676475,0.3374593312754719,0.037162120756880655,False
131,15,1,optimal_laps,0,1.3793318271636963,2.173051357269287,1,standard_laps,0.34429866381783003,0.5740236822990319,0.08167765388313808,False
132,15,2,standard_laps,1,1.312878131866455,2.573983907699585,1,standard_laps,0.20580530460344607,0.5933718559163417,0.2008228394802123,True
