image_id,cnn_image_path,cnn_repo_relative_path,class_name,class_index,global_lap_num,session,session_lap_num,signal_type,hit_number,raw_csv_path,raw_image_path,raw_repo_relative_path,raw_image_exists,s1_time_ms,s1_time_seconds,incident,delta_1_seconds,delta_2_seconds,associated_delta_seconds,has_delta_data,split
lap_0003_brake_01,C:\Users\admin\Desktop\Summer Projects\F1\F1-Optimized-Cornering-Project\Data\cnn-classes\sub_standard_laps\lap_0003_brake_01.png,Data/cnn-classes/sub_standard_laps/lap_0003_brake_01.png,sub_standard_laps,2,3,1,3,brake,1,../Data/image-data/session-1/brake/Lap_3_Brake hit_1.png,C:\Users\admin\Desktop\Summer Projects\F1\F1-Optimized-Cornering-Project\Data\image-data\session-1\brake\Lap_3_Brake hit_1.png,Data/image-data/session-1/brake/Lap_3_Brake hit_1.png,True,28935,28.935,none,,,,False,test
lap_0003_brake_02,C:\Users\admin\Desktop\Summer Projects\F1\F1-Optimized-Cornering-Project\Data\cnn-classes\sub_standard_laps\lap_0003_brake_02.png,Data/cnn-classes/sub_standard_laps/lap_0003_brake_02.png,sub_standard_laps,2,3,1,3,brake,2,../Data/image-data/session-1/brake/Lap_3_Brake hit_2.png,C:\Users\admin\Desktop\Summer Projects\F1\F1-Optimized-Cornering-Project\Data\image-data\session-1\brake\Lap_3_Brake hit_2.png,Data/image-data/session-1/brake/Lap_3_Brake hit_2.png,True,28935,28.935,none,,,,False,test
lap_0003_throttle_01,C:\Users\admin\Desktop\Summer Projects\F1\F1-Optimized-Cornering-Project\Data\cnn-classes\sub_standard_laps\lap_0003_throttle_01.png,Data/cnn-classes/sub_standard_laps/lap_0003_throttle_01.png,sub_standard_laps,2,3,1,3,throttle,1,../Data/image-data/session-1/throttle/Lap_3_Throttle hit_1.png,C:\Users\admin\Desktop\Summer Projects\F1\F1-Optimized-Cornering-Project\Data\image-data\session-1\throttle\Lap_3_Throttle hit_1.png,Data/image-data/session-1/throttle/Lap_3_Throttle hit_1.png,True,28935,28.935,none,,,,False,test
lap_0003_throttle_02,C:\Users\admin\Desktop\Summer Projects\F1\F1-Optimized-Cornering-Project\Data\cnn-classes\sub_standard_laps\lap_0003_throttle_02.png,Data/cnn-classes/sub_standard_laps/lap_0003_throttle_02.png,sub_standard_laps,2,3,1,3,throttle,2,../Data/image-data/session-1/throttle/Lap_3_Throttle hit_2.png,C:\Users\admin\Desktop\Summer Projects\F1\F1-Optimized-Cornering-Project\Data\image-data\session-1\throttle\Lap_3_Throttle hit_2.png,Data/image-data/session-1/throttle/Lap_3_Throttle hit_2.png,True,28935,28.935,none,,,,False,test
lap_0004_brake_01,C:\Users\admin\Desktop\Summer Projects\F1\F1-Optimized-Cornering-Project\Data\cnn-classes\sub_standard_laps\lap_0004_brake_01.png,Data/cnn-classes/sub_standard_laps/lap_0004_brake_01.png,sub_standard_laps,2,4,1,4,brake,1,../Data/image-data/session-1/brake/Lap_4_Brake hit_1.png,C:\Users\admin\Desktop\Summer Projects\F1\F1-Optimized-Cornering-Project\Data\image-data\session-1\brake\Lap_4_Brake hit_1.png,Data/image-data/session-1/brake/Lap_4_Brake hit_1.png,True,29188,29.188,none,,,,False,test
lap_0004_brake_02,C:\Users\admin\Desktop\Summer Projects\F1\F1-Optimized-Cornering-Project\Data\cnn-classes\sub_standard_laps\lap_0004_brake_02.png,Data/cnn-classes/sub_standard_laps/lap_0004_brake_02.png,sub_standard_laps,2,4,1,4,brake,2,../Data/image-data/session-1/brake/Lap_4_Brake hit_2.png,C:\Users\admin\Desktop\Summer Projects\F1\F1-Optimized-Cornering-Project\Data\image-data\session-1\brake\Lap_4_Brake hit_2.png,Data/image-data/session-1/brake/Lap_4_Brake hit_2.png,True,29188,29.188,none,,,,False,test
lap_0004_throttle_01,C:\Users\admin\Desktop\Summer Projects\F1\F1-Optimized-Cornering-Project\Data\cnn-classes\sub_standard_laps\lap_0004_throttle_01.png,Data/cnn-classes/sub_standard_laps/lap_0004_throttle_01.png,sub_standard_laps,2,4,1,4,throttle,1,../Data/image-data/session-1/throttle/Lap_4_Throttle hit_1.png,C:\Users\admin\Desktop\Summer Projects\F1\F1-Optimized-Cornering-Project\Data\image-data\session-1\throttle\Lap_4_Throttle hit_1.png,Data/image-data/session-1/throttle/Lap_4_Throttle hit_1.png,True,29188,29.188,none,,,,False,test
lap_0004_throttle_02,C:\Users\admin\Desktop\Summer Projects\F1\F1-Optimized-Cornering-Project\Data\cnn-classes\sub_standard_laps\lap_0004_throttle_02.png,Data/cnn-classes/sub_standard_laps/lap_0004_throttle_02.png,sub_standard_laps,2,4,1,4,throttle,2,../Data/image-data/session-1/throttle/Lap_4_Throttle hit_2.png,C:\Users\admin\Desktop\Summer Projects\F1\F1-Optimized-Cornering-Project\Data\image-data\session-1\throttle\Lap_4_Throttle hit_2.png,Data/image-data/session-1/throttle/Lap_4_Throttle hit_2.png,True,29188,29.188,none,,,,False,test
lap_0005_brake_01,C:\Users\admin\Desktop\Summer Projects\F1\F1-Optimized-Cornering-Project\Data\cnn-classes\standard_laps\lap_0005_brake_01.png,Data/cnn-classes/standard_laps/lap_0005_brake_01.png,standard_laps,1,5,1,5,brake,1,../Data/image-data/session-1/brake/Lap_5_Brake hit_1.png,C:\Users\admin\Desktop\Summer Projects\F1\F1-Optimized-Cornering-Project\Data\image-data\session-1\brake\Lap_5_Brake hit_1.png,Data/image-data/session-1/brake/Lap_5_Brake hit_1.png,True,28478,28.478,none,,,,False,test
lap_0005_brake_02,C:\Users\admin\Desktop\Summer Projects\F1\F1-Optimized-Cornering-Project\Data\cnn-classes\standard_laps\lap_0005_brake_02.png,Data/cnn-classes/standard_laps/lap_0005_brake_02.png,standard_laps,1,5,1,5,brake,2,../Data/image-data/session-1/brake/Lap_5_Brake hit_2.png,C:\Users\admin\Desktop\Summer Projects\F1\F1-Optimized-Cornering-Project\Data\image-data\session-1\brake\Lap_5_Brake hit_2.png,Data/image-data/session-1/brake/Lap_5_Brake hit_2.png,True,28478,28.478,none,,,,False,test
