image_id,cnn_image_path,cnn_repo_relative_path,class_name,class_index,global_lap_num,session,session_lap_num,sponsor_regime,signal_type,hit_number,raw_csv_path,raw_image_exists,s1_time_ms,s1_time_seconds,delta_1_seconds,delta_2_seconds,has_delta_data
lap_0003_brake_01,C:\Users\admin\Desktop\Summer Projects\F1\F1-Optimized-Cornering-Project\Data\image-data\session-1\brake\Lap_3_Brake hit_1.png,Data/image-data/session-1/brake/Lap_3_Brake hit_1.png,sub_standard_laps,2,3,1,3,old_sponsor,brake,1,../Data/image-data/session-1/brake/Lap_3_Brake hit_1.png,True,28935,28.935,,,False
lap_0003_brake_02,C:\Users\admin\Desktop\Summer Projects\F1\F1-Optimized-Cornering-Project\Data\image-data\session-1\brake\Lap_3_Brake hit_2.png,Data/image-data/session-1/brake/Lap_3_Brake hit_2.png,sub_standard_laps,2,3,1,3,old_sponsor,brake,2,../Data/image-data/session-1/brake/Lap_3_Brake hit_2.png,True,28935,28.935,,,False
lap_0003_throttle_01,C:\Users\admin\Desktop\Summer Projects\F1\F1-Optimized-Cornering-Project\Data\image-data\session-1\throttle\Lap_3_Throttle hit_1.png,Data/image-data/session-1/throttle/Lap_3_Throttle hit_1.png,sub_standard_laps,2,3,1,3,old_sponsor,throttle,1,../Data/image-data/session-1/throttle/Lap_3_Throttle hit_1.png,True,28935,28.935,,,False
lap_0003_throttle_02,C:\Users\admin\Desktop\Summer Projects\F1\F1-Optimized-Cornering-Project\Data\image-data\session-1\throttle\Lap_3_Throttle hit_2.png,Data/image-data/session-1/throttle/Lap_3_Throttle hit_2.png,sub_standard_laps,2,3,1,3,old_sponsor,throttle,2,../Data/image-data/session-1/throttle/Lap_3_Throttle hit_2.png,True,28935,28.935,,,False
lap_0004_brake_01,C:\Users\admin\Desktop\Summer Projects\F1\F1-Optimized-Cornering-Project\Data\image-data\session-1\brake\Lap_4_Brake hit_1.png,Data/image-data/session-1/brake/Lap_4_Brake hit_1.png,sub_standard_laps,2,4,1,4,old_sponsor,brake,1,../Data/image-data/session-1/brake/Lap_4_Brake hit_1.png,True,29188,29.188,,,False
lap_0004_brake_02,C:\Users\admin\Desktop\Summer Projects\F1\F1-Optimized-Cornering-Project\Data\image-data\session-1\brake\Lap_4_Brake hit_2.png,Data/image-data/session-1/brake/Lap_4_Brake hit_2.png,sub_standard_laps,2,4,1,4,old_sponsor,brake,2,../Data/image-data/session-1/brake/Lap_4_Brake hit_2.png,True,29188,29.188,,,False
lap_0004_throttle_01,C:\Users\admin\Desktop\Summer Projects\F1\F1-Optimized-Cornering-Project\Data\image-data\session-1\throttle\Lap_4_Throttle hit_1.png,Data/image-data/session-1/throttle/Lap_4_Throttle hit_1.png,sub_standard_laps,2,4,1,4,old_sponsor,throttle,1,../Data/image-data/session-1/throttle/Lap_4_Throttle hit_1.png,True,29188,29.188,,,False
lap_0004_throttle_02,C:\Users\admin\Desktop\Summer Projects\F1\F1-Optimized-Cornering-Project\Data\image-data\session-1\throttle\Lap_4_Throttle hit_2.png,Data/image-data/session-1/throttle/Lap_4_Throttle hit_2.png,sub_standard_laps,2,4,1,4,old_sponsor,throttle,2,../Data/image-data/session-1/throttle/Lap_4_Throttle hit_2.png,True,29188,29.188,,,False
lap_0005_brake_01,C:\Users\admin\Desktop\Summer Projects\F1\F1-Optimized-Cornering-Project\Data\image-data\session-1\brake\Lap_5_Brake hit_1.png,Data/image-data/session-1/brake/Lap_5_Brake hit_1.png,standard_laps,1,5,1,5,old_sponsor,brake,1,../Data/image-data/session-1/brake/Lap_5_Brake hit_1.png,True,28478,28.478,,,False
lap_0005_brake_02,C:\Users\admin\Desktop\Summer Projects\F1\F1-Optimized-Cornering-Project\Data\image-data\session-1\brake\Lap_5_Brake hit_2.png,Data/image-data/session-1/brake/Lap_5_Brake hit_2.png,standard_laps,1,5,1,5,old_sponsor,brake,2,../Data/image-data/session-1/brake/Lap_5_Brake hit_2.png,True,28478,28.478,,,False
lap_0005_throttle_01,C:\Users\admin\Desktop\Summer Projects\F1\F1-Optimized-Cornering-Project\Data\image-data\session-1\throttle\Lap_5_Throttle hit_1.png,Data/image-data/session-1/throttle/Lap_5_Throttle hit_1.png,standard_laps,1,5,1,5,old_sponsor,throttle,1,../Data/image-data/session-1/throttle/Lap_5_Throttle hit_1.png,True,28478,28.478,,,False
