global_lap_num,session,session_lap_num,sponsor_regime,class_name,class_index,s1_time_ms,s1_time_seconds,incident,delta_1_seconds,delta_2_seconds,delta_gap_seconds,mean_delta_seconds,has_delta_data,split
3,1,3,old_sponsor,sub_standard_laps,2,28935,28.935,none,,,,,False,train
4,1,4,old_sponsor,sub_standard_laps,2,29188,29.188,none,,,,,False,train
5,1,5,old_sponsor,standard_laps,1,28478,28.478,none,,,,,False,train
6,1,6,old_sponsor,standard_laps,1,28420,28.42,none,,,,,False,train
8,1,8,old_sponsor,sub_standard_laps,2,28812,28.812,none,,,,,False,train
9,1,9,old_sponsor,sub_standard_laps,2,28980,28.98,none,,,,,False,train
10,1,10,old_sponsor,standard_laps,1,28500,28.5,none,,,,,False,train
11,2,1,old_sponsor,sub_standard_laps,2,29467,29.467,none,,,,,False,train
12,2,2,old_sponsor,sub_standard_laps,2,29346,29.346,none,,,,,False,train
16,2,6,old_sponsor,standard_laps,1,28395,28.395,none,,,,,False,train
18,2,8,old_sponsor,standard_laps,1,28483,28.483,none,,,,,False,train
19,2,9,old_sponsor,sub_standard_laps,2,28828,28.828,none,,,,,False,train
21,2,11,old_sponsor,sub_standard_laps,2,28897,28.897,none,,,,,False,train
22,3,1,old_sponsor,sub_standard_laps,2,28857,28.857,none,,,,,False,train
24,3,3,old_sponsor,standard_laps,1,28361,28.361,none,,,,,False,train
25,3,4,old_sponsor,optimal_laps,0,27975,27.975,none,,,,,False,train
26,4,1,old_sponsor,standard_laps,1,28390,28.39,none,,,,,False,train
28,4,3,old_sponsor,sub_standard_laps,2,29430,29.43,none,,,,,False,train
29,4,4,old_sponsor,standard_laps,1,28335,28.335,none,,,,,False,train
31,4,6,old_sponsor,standard_laps,1,28241,28.241,none,,,,,False,train
32,4,7,old_sponsor,sub_standard_laps,2,29498,29.498,none,,,,,False,train
33,4,8,old_sponsor,standard_laps,1,28566,28.566,none,,,,,False,train
35,4,10,old_sponsor,standard_laps,1,28426,28.426,none,,,,,False,train
36,4,11,old_sponsor,sub_standard_laps,2,28640,28.64,none,,,,,False,train
38,5,2,old_sponsor,standard_laps,1,28297,28.297,none,,,,,False,train
43,5,7,old_sponsor,sub_standard_laps,2,28691,28.691,none,,,,,False,train
46,5,10,old_sponsor,sub_standard_laps,2,28901,28.901,none,,,,,False,train
47,5,11,old_sponsor,sub_standard_laps,2,29194,29.194,none,,,,,False,train
48,6,1,old_sponsor,standard_laps,1,28263,28.263,none,1.330505132675171,2.5443592071533203,1.2138540744781494,1.9374321699142456,True,test
50,6,3,old_sponsor,standard_laps,1,28321,28.321,none,1.3782010078430176,2.5585391521453857,1.1803381443023682,1.9683700799942017,True,test
51,6,4,old_sponsor,standard_laps,1,28483,28.483,none,1.6070523262023926,2.64884090423584,1.0417885780334473,2.127946615219116,True,test
53,6,6,old_sponsor,standard_laps,1,28366,28.366,none,1.4015560150146484,2.5156431198120117,1.1140871047973633,1.95859956741333,True,test
55,6,8,old_sponsor,sub_standard_laps,2,28791,28.791,none,1.4284217357635498,2.1875081062316895,0.7590863704681396,1.8079649209976196,True,test
