global_lap_num,session,session_lap_num,class_name,class_index,s1_time_ms,s1_time_seconds,incident,brake_image_1,brake_image_2,throttle_image_1,throttle_image_2,raw_brake_image_1,raw_brake_image_2,raw_throttle_image_1,raw_throttle_image_2,delta_1_seconds,delta_2_seconds,delta_gap_seconds,mean_delta_seconds,has_delta_data
3,1,3,sub_standard_laps,2,28935,28.935,none,Data/cnn-classes/sub_standard_laps/lap_0003_brake_01.png,Data/cnn-classes/sub_standard_laps/lap_0003_brake_02.png,Data/cnn-classes/sub_standard_laps/lap_0003_throttle_01.png,Data/cnn-classes/sub_standard_laps/lap_0003_throttle_02.png,Data/image-data/session-1/brake/Lap_3_Brake hit_1.png,Data/image-data/session-1/brake/Lap_3_Brake hit_2.png,Data/image-data/session-1/throttle/Lap_3_Throttle hit_1.png,Data/image-data/session-1/throttle/Lap_3_Throttle hit_2.png,,,,,False
4,1,4,sub_standard_laps,2,29188,29.188,none,Data/cnn-classes/sub_standard_laps/lap_0004_brake_01.png,Data/cnn-classes/sub_standard_laps/lap_0004_brake_02.png,Data/cnn-classes/sub_standard_laps/lap_0004_throttle_01.png,Data/cnn-classes/sub_standard_laps/lap_0004_throttle_02.png,Data/image-data/session-1/brake/Lap_4_Brake hit_1.png,Data/image-data/session-1/brake/Lap_4_Brake hit_2.png,Data/image-data/session-1/throttle/Lap_4_Throttle hit_1.png,Data/image-data/session-1/throttle/Lap_4_Throttle hit_2.png,,,,,False
5,1,5,standard_laps,1,28478,28.478,none,Data/cnn-classes/standard_laps/lap_0005_brake_01.png,Data/cnn-classes/standard_laps/lap_0005_brake_02.png,Data/cnn-classes/standard_laps/lap_0005_throttle_01.png,Data/cnn-classes/standard_laps/lap_0005_throttle_02.png,Data/image-data/session-1/brake/Lap_5_Brake hit_1.png,Data/image-data/session-1/brake/Lap_5_Brake hit_2.png,Data/image-data/session-1/throttle/Lap_5_Throttle hit_1.png,Data/image-data/session-1/throttle/Lap_5_Throttle hit_2.png,,,,,False
6,1,6,standard_laps,1,28420,28.42,none,Data/cnn-classes/standard_laps/lap_0006_brake_01.png,Data/cnn-classes/standard_laps/lap_0006_brake_02.png,Data/cnn-classes/standard_laps/lap_0006_throttle_01.png,Data/cnn-classes/standard_laps/lap_0006_throttle_02.png,Data/image-data/session-1/brake/Lap_6_Brake hit_1.png,Data/image-data/session-1/brake/Lap_6_Brake hit_2.png,Data/image-data/session-1/throttle/Lap_6_Throttle hit_1.png,Data/image-data/session-1/throttle/Lap_6_Throttle hit_2.png,,,,,False
8,1,8,sub_standard_laps,2,28812,28.812,none,Data/cnn-classes/sub_standard_laps/lap_0008_brake_01.png,Data/cnn-classes/sub_standard_laps/lap_0008_brake_02.png,Data/cnn-classes/sub_standard_laps/lap_0008_throttle_01.png,Data/cnn-classes/sub_standard_laps/lap_0008_throttle_02.png,Data/image-data/session-1/brake/Lap_8_Brake hit_1.png,Data/image-data/session-1/brake/Lap_8_Brake hit_2.png,Data/image-data/session-1/throttle/Lap_8_Throttle hit_1.png,Data/image-data/session-1/throttle/Lap_8_Throttle hit_2.png,,,,,False
9,1,9,sub_standard_laps,2,28980,28.98,none,Data/cnn-classes/sub_standard_laps/lap_0009_brake_01.png,Data/cnn-classes/sub_standard_laps/lap_0009_brake_02.png,Data/cnn-classes/sub_standard_laps/lap_0009_throttle_01.png,Data/cnn-classes/sub_standard_laps/lap_0009_throttle_02.png,Data/image-data/session-1/brake/Lap_9_Brake hit_1.png,Data/image-data/session-1/brake/Lap_9_Brake hit_2.png,Data/image-data/session-1/throttle/Lap_9_Throttle hit_1.png,Data/image-data/session-1/throttle/Lap_9_Throttle hit_2.png,,,,,False
10,1,10,standard_laps,1,28500,28.5,none,Data/cnn-classes/standard_laps/lap_0010_brake_01.png,Data/cnn-classes/standard_laps/lap_0010_brake_02.png,Data/cnn-classes/standard_laps/lap_0010_throttle_01.png,Data/cnn-classes/standard_laps/lap_0010_throttle_02.png,Data/image-data/session-1/brake/Lap_10_Brake hit_1.png,Data/image-data/session-1/brake/Lap_10_Brake hit_2.png,Data/image-data/session-1/throttle/Lap_10_Throttle hit_1.png,Data/image-data/session-1/throttle/Lap_10_Throttle hit_2.png,,,,,False
11,2,1,sub_standard_laps,2,29467,29.467,none,Data/cnn-classes/sub_standard_laps/lap_0011_brake_01.png,Data/cnn-classes/sub_standard_laps/lap_0011_brake_02.png,Data/cnn-classes/sub_standard_laps/lap_0011_throttle_01.png,Data/cnn-classes/sub_standard_laps/lap_0011_throttle_02.png,Data/image-data/session-2/brake/Lap_1_Brake hit_1.png,Data/image-data/session-2/brake/Lap_1_Brake hit_2.png,Data/image-data/session-2/throttle/Lap_1_Throttle hit_1.png,Data/image-data/session-2/throttle/Lap_1_Throttle hit_2.png,,,,,False
12,2,2,sub_standard_laps,2,29346,29.346,none,Data/cnn-classes/sub_standard_laps/lap_0012_brake_01.png,Data/cnn-classes/sub_standard_laps/lap_0012_brake_02.png,Data/cnn-classes/sub_standard_laps/lap_0012_throttle_01.png,Data/cnn-classes/sub_standard_laps/lap_0012_throttle_02.png,Data/image-data/session-2/brake/Lap_2_Brake hit_1.png,Data/image-data/session-2/brake/Lap_2_Brake hit_2.png,Data/image-data/session-2/throttle/Lap_2_Throttle hit_1.png,Data/image-data/session-2/throttle/Lap_2_Throttle hit_2.png,,,,,False
16,2,6,standard_laps,1,28395,28.395,none,Data/cnn-classes/standard_laps/lap_0016_brake_01.png,Data/cnn-classes/standard_laps/lap_0016_brake_02.png,Data/cnn-classes/standard_laps/lap_0016_throttle_01.png,Data/cnn-classes/standard_laps/lap_0016_throttle_02.png,Data/image-data/session-2/brake/Lap_6_Brake hit_1.png,Data/image-data/session-2/brake/Lap_6_Brake hit_2.png,Data/image-data/session-2/throttle/Lap_6_Throttle hit_1.png,Data/image-data/session-2/throttle/Lap_6_Throttle hit_2.png,,,,,False
