held_out_session,held_out_laps,held_out_classes,cnn_accuracy,cnn_balanced_accuracy,delta_accuracy,delta_balanced_accuracy,fusion_accuracy,fusion_balanced_accuracy,final_cnn_train_loss,final_cnn_train_image_accuracy
6,5,2,0.8,0.5,0.6,0.375,0.6,0.375,0.8652242682874203,0.62109375
7,6,3,0.6666666666666666,0.5,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.5,0.8510195703406609,0.6230366492146597
8,6,2,0.8333333333333334,0.9,0.16666666666666666,0.1,0.3333333333333333,0.2,0.850692434772771,0.6217277486910995
9,3,3,1.0,1.0,1.0,1.0,1.0,1.0,0.8556515390110999,0.6262886597938144
10,11,3,0.45454545454545453,0.35714285714285715,0.45454545454545453,0.7142857142857143,0.6363636363636364,0.8095238095238096,0.8837217175832359,0.6061827956989247
11,4,2,0.25,0.25,0.25,0.25,0.5,0.5,0.8602794232763775,0.6373056994818653
12,8,3,0.625,0.43333333333333335,0.75,0.7666666666666666,0.75,0.7666666666666666,0.8698250897346981,0.6111111111111112
13,5,3,0.6,0.5,0.8,0.6666666666666666,0.8,0.6666666666666666,0.8656145768860976,0.6184895833333334
14,7,2,0.42857142857142855,0.5,0.8571428571428571,0.8333333333333333,0.8571428571428571,0.875,0.8729285553881997,0.5960526315789474
15,5,3,0.6,0.3333333333333333,0.8,0.6666666666666666,0.6,0.3333333333333333,0.851778211692969,0.6497395833333334
16,8,2,0.5,0.5,0.625,0.625,0.75,0.75,0.8589596473981463,0.6402116402116402
17,13,3,0.7692307692307693,0.6666666666666666,0.5384615384615384,0.75,0.6153846153846154,0.7916666666666666,0.870147309873415,0.6182065217391305
18,7,2,0.42857142857142855,0.375,0.5714285714285714,0.625,0.42857142857142855,0.4583333333333333,0.8524587731612356,0.65
19,6,3,1.0,1.0,0.8333333333333334,0.8888888888888888,0.8333333333333334,0.8888888888888888,0.880252403738611,0.6256544502617801
20,10,3,0.6,0.611111111111111,0.4,0.4166666666666667,0.5,0.5,0.8743661310583513,0.6056149732620321
21,9,3,0.7777777777777778,0.7777777777777778,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.8673272221646411,0.6170212765957447
22,12,3,0.6666666666666666,0.5833333333333334,0.4166666666666667,0.5833333333333334,0.75,0.75,0.8678521104761072,0.5945945945945946
23,15,3,0.6666666666666666,0.5972222222222222,0.5333333333333333,0.6666666666666666,0.8,0.8333333333333334,0.834476147379194,0.6538461538461539
24,15,3,0.5333333333333333,0.5277777777777778,0.4,0.40277777777777773,0.5333333333333333,0.5277777777777778,0.8664742649256528,0.6304945054945055
25,14,3,0.5714285714285714,0.5515873015873015,0.35714285714285715,0.33730158730158727,0.5714285714285714,0.5515873015873015,0.9020138666278026,0.5833333333333334
